id,Token,Chain,Tier
,USDE,ETH,4
,USDT,ETH,2
,USDT,ARB,2
,USDT,POL,2
,axlUSDT,Kava,3
,USDT,Kava,3
,MIM,ARB,3
,USDC,ARB,1
,USDC,ETH,1
,USDC,BASE,1
,USDC,AVAX,1
,FDUSD,BNB,3
,SUSD,ETH,4
,FXUSD,ETH,4
,DAI,ETH,1
,DAI,ARB,1
,USDC,OP,1
,SUSD,OP,4
,FRAX,ETH,4
,USDM,ARB,4
,OUSD,ETH,2
,SOL,SOL,1
,SOL,ETH,1
,SOL,ARB,1
,SOL,BNB,1
,SOL,POL,1
,WETH,ETH,1
,WETH,POL,1
,WETH,ARB,1
,WETH,BASE,1
,WMATIC,POL,1
,JitoSOL,SOL,1
,mSOL,SOL,2
,jupSOL,SOL,3
,bSOL,SOL,2
,LST,SOL,3
,vSOL,SOL,4
,hSOL,SOL,4
,PUFETH,ETH,3
,RSETH,ETH,2
,PXETH,ETH,3
,STETH,ETH,2
,BNB,BNB,1
,BNB,POL,1